query_position,validation_index,shuffled_source_index,wrong_molecule_source_index,wrong_molecule_distance
170,43455,35099,2147,16.893545
171,13842,2844,3170,21.241703
172,11626,6247,40828,18.451525
173,28813,12583,28050,16.608192
174,20822,34689,37425,13.916078
175,17156,2827,20058,16.762115
176,14496,41793,41884,3.4517815
177,417,6217,14030,10.178401
178,37940,37927,7026,10.653523
179,34078,29136,6059,9.420761
180,45151,20015,4246,14.766675
181,34654,28303,49494,19.299538
182,47366,22827,6313,24.066807
183,48449,6884,17335,15.910409
184,47352,1640,43012,3.6973848
185,35385,19948,38192,8.756331
186,9119,46800,29279,13.805145
187,27372,18906,37665,11.385083
188,2610,28958,11524,10.874203
189,8213,8271,5526,18.075836
190,32897,39091,47254,11.344848
191,23212,39538,23535,8.046944
192,26522,15081,31519,10.874708
193,45578,10720,40539,21.046696
194,30025,12737,47300,21.076683
195,27411,7456,36452,17.828173
196,16192,23907,20319,7.6562343
197,826,7929,41691,14.607645
198,42131,20404,17882,9.759379
199,35188,3412,35009,9.017649
200,37473,44875,14015,22.59359
201,36875,40477,20540,25.109243
202,27957,16377,6549,25.604641
203,27160,48373,38569,22.131466
204,33739,47342,28800,22.016846
205,42753,11290,21581,16.94694
206,17203,43131,41463,10.725934
207,47011,43184,46541,6.217592
208,16011,45480,47773,21.033682
209,40824,34405,46425,21.936365
210,25103,21923,28524,17.753632
211,3685,36553,9142,20.064878
212,19032,41682,45926,11.67234
213,42687,6801,15341,17.757631
214,4711,41065,40560,17.179728
215,29403,7391,46977,44.18803
216,39269,28382,33052,13.460936
217,13020,20238,16780,22.344648
218,20976,30318,42429,20.735275
219,46794,46873,26871,12.524157
220,49966,25708,49650,15.853678
221,28453,43236,20669,14.1112175
222,6425,21979,17724,21.947573
223,42842,23861,25249,19.42633
224,41805,39778,47657,9.859926
225,7523,8740,20222,8.283652
226,46042,27852,15731,29.809551
227,29505,45276,7638,16.31256
228,44037,42785,25437,22.22
229,14490,38530,36451,10.360942
230,22398,49841,18149,10.255203
231,35728,28996,18214,16.836277
232,45750,43336,22037,13.215933
233,19565,43966,26083,8.92561
234,4916,46107,46151,13.412686
235,39277,48361,44338,12.36685
236,18388,42952,38793,18.541187
237,39413,8814,41056,17.841356
238,26846,5648,32544,21.040697
239,22698,46314,43814,13.588662
240,18259,42378,6717,16.852253
241,30604,25440,49024,20.861738
242,48287,8152,13754,9.298988
243,7547,43580,32380,9.7765
244,9175,4400,29511,12.375098
245,7783,36216,39040,23.365042
246,39397,6615,43145,16.933867
247,16668,40270,38740,6.6841407
248,33637,13422,15583,12.756777
249,6377,46973,31882,16.438696
250,22565,42271,43523,9.772523
251,465,33683,7265,11.71081
252,30477,15018,25314,5.584096
253,34354,8857,22396,10.573473
254,46769,35971,35766,26.767202
255,18385,29262,40038,13.701958
256,14576,45062,16329,10.710279
257,2278,41151,41460,11.93258
258,10535,25952,7340,19.873768
259,899,32963,11501,12.365112
260,5039,23912,2045,18.328625
261,15948,36389,28915,11.314054
262,14519,9848,34758,11.251584
263,31713,23557,12299,15.972144
264,43721,13611,11476,20.218393
265,37419,2757,35724,17.83394
266,17471,29373,29332,21.577576
267,46497,44931,3474,17.396788
268,40158,4534,18911,36.59319
269,49068,8016,16685,15.20693
270,33860,1244,3787,11.35945
271,47671,618,8934,20.399382
272,47775,27961,13300,19.35004
273,6932,49576,11821,21.629131
274,4307,38191,2511,12.451601
275,40248,11598,26420,16.022057
276,3411,29520,27455,13.3779335
277,25645,44889,32932,15.061374
278,31499,23711,473,19.92201
279,31305,3760,38048,12.641437
280,6337,25112,41599,8.559776
281,17329,17446,11258,10.684867
282,19810,38796,39500,10.853309
283,11237,417,30629,12.492605
284,9483,6229,24424,28.503483
285,30251,951,19849,17.979317
286,7492,18388,36680,19.475552
287,3560,2319,16898,20.087233
288,49404,793,45747,21.683672
289,28553,8822,26858,20.948097
290,35235,48389,13513,8.122987
291,32722,8507,28931,22.312174
292,45277,46360,21191,21.581005
293,4804,6110,38406,31.829226
294,46857,12293,26641,14.750794
295,804,18072,26987,27.25379
296,24091,9769,22855,17.35991
297,9675,24196,17218,18.067932
298,42537,8836,34686,12.320438
299,44569,27669,41265,26.133352
300,32742,41202,31028,28.190817
301,24683,28327,20696,13.338763
302,23176,939,37401,13.878866
303,11921,13670,27089,2.6914487
304,15890,18929,2753,3.1328807
305,25463,46539,6023,8.699393
306,22729,25748,39743,28.647972
307,45052,8668,26408,23.380281
308,46360,9105,23579,19.239546
309,9892,29138,14882,19.401966
310,29293,23410,43705,20.214647
311,26832,12155,378,20.783035
312,11933,33245,19093,16.394781
313,18495,7186,1695,20.44492
314,31630,12915,595,23.010452
315,43815,2527,47171,12.645385
316,1154,26688,21951,12.57895
317,9257,38759,45321,15.989334
318,38557,3323,10700,21.436794
319,15221,27830,48673,19.24603
320,3511,42535,826,14.80363
321,41344,36199,30947,14.868634
322,2777,26400,8967,19.109419
323,39657,6713,9428,17.848503
324,36327,19229,12688,19.596607
325,37206,37439,4202,15.529799
326,42274,44301,15525,8.861442
327,30926,45186,40451,17.16527
328,22022,49521,22354,0.91629666
329,38070,23977,11540,17.913158
330,38646,46461,10049,19.043102
331,8345,5503,11240,21.118458
332,37256,44576,34241,8.642532
333,7471,18200,13300,24.091381
334,11144,8307,12959,21.310844
335,4234,33860,18806,10.838751
336,14428,30176,15351,25.647253
337,43341,14403,10003,20.747688
338,20278,36640,24001,26.561724
339,13121,31169,2964,7.5763206
340,318,39510,19180,20.12278
341,2287,13100,26865,16.19757
342,42157,17766,6785,18.68513
343,17657,43784,13239,18.61289
344,24809,32781,3019,5.5789127
345,42909,9188,14354,12.894195
346,25974,29681,45169,10.61957
347,7664,30555,24028,17.81557
348,5187,9113,32741,23.356276
349,35360,8893,29091,26.13358
350,40187,48303,24830,13.871867
351,48742,122,18794,20.615765
352,11274,21688,15690,16.184084
353,16102,15961,28701,10.331895
354,25962,20577,18575,11.327015
355,42907,41649,25998,16.245125
356,3696,28250,38003,24.260017
357,9957,29057,27461,13.649545
358,1099,221,38294,9.972949
359,7583,45283,41886,22.212738
360,8970,48493,12267,14.485842
361,5476,2871,26654,13.282435
362,24492,19515,41569,9.924938
363,260,45973,26301,8.264045
364,9853,10192,47374,19.807142
365,37805,43775,22690,19.639954
366,1681,20727,46153,28.046745
367,36000,24694,28378,14.414738
368,6084,41078,30042,8.712658
369,17643,20241,39445,20.04126
370,32347,7705,32950,23.61551
371,4896,45378,14234,12.691963
372,31524,12963,42076,7.4668703
373,20230,30939,6942,13.345013
374,30862,22999,6445,6.89175
375,32083,11626,7563,15.182605
376,19783,934,48453,4.495766
377,5582,36700,540,8.154873
378,5988,49691,37375,11.779985
379,17153,42233,14168,12.81431
380,39051,4310,48556,1.9704233
381,33702,16772,1549,20.275574
382,39562,35787,2522,22.028585
383,35067,41957,37707,22.507181
384,13808,4175,905,21.724117
385,11713,20651,3061,15.316692
386,15874,26256,2320,8.4440365
387,41196,32386,45743,18.055788
388,30667,23507,15524,23.92883
389,1060,2591,18765,8.343633
390,45764,24252,35466,17.532259
391,3036,49406,39446,2.4201355
392,8682,20611,30821,9.101989
393,42040,28845,40744,17.834478
394,28577,36059,20131,20.910604
395,43814,29557,1340,12.8247175
396,21394,11722,13242,12.556707
397,18487,12605,7027,17.084618
398,10190,35008,9046,15.042912
399,46852,48060,22364,12.660141
400,43411,26269,21236,22.563187
401,29889,21103,5790,7.4341674
402,11142,40198,37005,23.639816
403,13641,12327,1797,15.174055
404,34850,20536,22849,12.773339
405,35947,34010,34790,10.417722
406,10634,49411,36274,23.872852
407,36098,10800,49973,9.860316
408,46691,49232,36918,21.075605
409,2319,1259,12377,14.051454
410,15982,25928,20806,22.225092
411,20118,34163,31552,9.8498125
412,42864,43768,37383,14.417058
413,35449,9924,1296,4.697957
414,29542,13215,39779,5.980151
415,20360,8892,4302,8.6206255
416,36352,3389,23594,10.863556
417,20290,16720,29837,18.306847
418,11110,5515,38760,22.56991
419,44504,14736,4334,26.446903
420,17884,48139,22413,21.587973
421,22048,9828,6337,15.246573
422,9325,36639,14302,12.654591
423,19238,38370,49472,24.72632
424,14394,4967,42516,18.303005
425,28534,17353,11555,15.449092
426,47807,7455,17417,16.820732
427,6408,27410,19425,12.468883
428,27111,18642,8745,7.5133343
429,37123,33001,46964,21.15329
430,29882,21277,13796,20.354027
431,27723,38707,14666,9.825913
432,27619,41461,10299,10.8569355
433,13891,49958,21723,13.316699
434,44158,7398,43267,10.169619
435,600,12415,35736,14.682745
436,34140,46443,6472,23.078049
437,28346,13514,17672,13.421484
438,7721,2969,4567,14.6469145
439,22462,15514,48340,11.21419
440,20241,42882,9570,12.017484
441,15528,13477,30493,20.458555
442,39629,41495,45245,5.504437
443,27702,47220,28385,21.673561
444,21043,45237,9821,15.7824955
445,26583,12008,18766,11.657968
446,35863,15874,6247,22.199183
447,21051,37923,25774,18.910772
448,40550,40129,40988,23.337416
449,19049,35286,15970,36.725674
450,43862,36821,17439,22.029476
451,30866,48940,18378,20.891945
452,28368,12654,15309,13.129705
453,24206,48781,41875,12.025602
454,32991,48274,20974,16.345505
455,6116,47325,8251,19.05586
456,30169,49561,25613,18.51529
457,12265,19942,1995,8.725887
458,256,16547,39450,18.96756
459,14209,33440,45153,20.440199
460,47338,19809,3218,7.7928505
461,1763,15752,49077,18.964554
462,10779,5804,23214,18.420706
463,18574,3238,6423,20.139462
464,918,38625,43164,5.6476755
465,14856,15024,23420,19.202177
466,11013,28706,3228,15.299245
467,38833,2017,32557,15.970707
468,33775,16600,47576,9.045587
469,49604,3609,16185,17.951805
470,40972,37813,47272,5.2102523
471,37104,13249,13563,9.73677
472,25402,2789,4435,2.331897
473,3459,1702,32035,6.4133725
474,19504,27547,43181,16.040285
475,41745,23634,19081,13.588523
476,16147,22703,11395,19.767925
477,11060,31517,38700,14.333645
478,17568,6403,18040,15.780821
479,31212,29951,44281,18.826252
480,41307,16914,37007,15.8894615
481,22949,17865,31405,20.052229
482,23969,6898,439,16.454512
483,28455,22041,9796,14.758828
484,25296,39296,5644,8.175638
485,4961,10845,1146,25.672583
486,378,45195,26832,20.783035
487,36355,7279,11659,23.647755
488,8004,42598,47187,10.884935
489,49155,4495,25762,16.998959
490,10018,14547,10752,13.769553
491,32758,29595,45619,17.378527
492,34664,9192,13592,19.014322
493,12584,48129,20782,24.99361
494,43134,2493,48027,8.161389
495,1610,45492,29854,9.274224
496,2171,34209,591,4.888528
497,41818,2063,44961,28.065815
498,28860,16304,39469,7.387734
499,43479,37060,24582,19.1988
500,21935,47549,42235,4.763345
501,32232,24991,17469,11.159773
502,5005,15178,40529,5.6605215
503,38396,26108,21357,23.348644
504,46082,8953,24739,11.430283
505,16211,42129,33238,7.2577286
506,43114,5829,23846,21.467493
507,19948,22871,18005,16.834768
508,11102,37675,35060,14.061719
509,1710,3925,18269,7.320075
510,1350,4711,30174,22.751493
511,12759,30356,26429,7.0521393
512,35256,26455,39382,21.289726
513,35426,11490,813,26.603916
514,47917,31630,41278,19.59316
515,956,37171,17547,12.478027
516,643,11050,27836,23.111286
517,9782,35026,27627,12.380552
518,46425,49949,40824,21.936365
519,34114,2358,38079,31.412655
520,46742,25198,16874,5.793041
521,34658,37057,32122,23.348791
522,41404,35664,23826,16.124477
523,14212,7368,16401,6.944271
524,43077,22812,38886,24.211597
525,37442,13668,19465,15.822965
526,43707,7511,8686,26.423058
527,8318,29273,23645,10.084645
528,8784,48230,25520,11.349968
529,30950,21935,32289,17.084553
530,12275,24394,20969,13.395939
531,23597,38354,21164,17.930346
532,15390,46763,8320,20.082973
533,6290,43512,1797,18.648573
534,26014,11164,15667,13.0547695
535,43812,16324,35881,23.099009
536,43183,11156,16896,21.218203
537,30511,7991,16586,17.396057
538,8729,21218,34163,16.136662
539,41679,10314,19489,13.323376
540,2723,456,38552,24.075098
541,42949,8025,10200,21.8253
542,29565,23326,33597,5.903066
543,30084,47958,2168,9.578469
544,24706,10729,39395,14.129441
545,3447,31777,14912,14.116001
546,23560,28702,43095,6.7436314
547,44254,41302,6958,7.0694795
548,15064,33500,12021,24.48064
549,42844,22061,9260,29.275826
550,41075,10491,814,8.572467
551,35911,25897,22256,14.096344
552,44250,11278,4313,11.674238
553,5707,41310,22683,19.559616
554,22628,4725,14567,14.587467
555,2499,10892,24962,13.1115675
556,48986,13311,33635,13.100629
557,47267,46267,36911,13.128831
558,14993,3153,35148,13.8840065
559,43988,43927,49938,18.441446
560,3835,15813,349,1.146975
561,25891,4236,49727,8.868987
562,49590,43695,42278,15.599095
563,28779,40408,31351,17.911274
564,18735,43110,42471,19.615213
565,20009,4887,48347,2.7714891
566,30108,10253,704,10.538527
567,8330,37742,30654,3.4553514
568,14789,15371,19987,10.79752
569,3069,4961,18205,19.723133
570,26646,47905,36323,37.399914
571,47455,34458,44188,21.610027
572,24125,33188,12306,8.484217
573,19771,48992,49690,11.002441
574,3361,41115,30367,5.14523
575,45463,23597,16293,6.852128
576,8642,47286,10935,13.438145
577,34418,10432,4953,11.480112
578,15471,26146,79,13.330511
579,4597,277,46725,11.386134
580,42472,14050,47918,21.3777
581,2482,47735,1534,12.393191
582,29951,40871,24023,13.466969
583,19875,42307,43100,4.7554193
584,43645,44007,6409,14.782307
585,21044,39904,49493,7.9436493
586,44814,41487,11612,9.008005
587,25193,48449,9526,11.590033
588,42888,44192,36572,14.966568
589,44137,38828,29382,17.936323
590,11301,24997,48959,23.52629
591,48808,17755,33422,21.340366
592,7854,17416,33159,14.317395
593,48295,39163,49108,25.234198
594,21512,18805,26232,23.66122
595,13215,43001,26042,18.728022
596,9872,18145,11683,16.951649
597,5410,18670,27607,8.047057
598,7398,41923,49721,12.386792
599,13307,35064,30044,11.066704
600,28891,25180,28615,12.097505
601,8192,16601,24264,17.397026
602,4509,18421,30856,9.784843
603,47380,29698,41613,14.076659
604,10995,32975,28194,9.886576
605,25458,44794,12553,17.268234
606,30705,24945,15758,22.977594
607,19976,14914,29729,20.588276
608,32544,14428,21396,16.010738
609,8174,24237,31915,8.248224
610,9079,7826,13321,4.861786
611,26183,39647,8592,22.288498
612,43557,22611,46293,10.547812
613,27840,3499,49759,19.270544
614,39307,5377,37470,17.383112
615,4887,4494,20806,24.184078
616,7076,33878,12546,19.860662
617,13099,15187,167,20.232674
618,28315,31812,40994,15.142584
619,41116,7868,3468,5.0310316
620,9311,6537,3458,24.463232
621,2244,16871,22838,13.573171
622,42713,18165,4085,5.0538483
623,30755,48564,35983,14.250308
624,25398,12207,48606,22.34789
625,29042,5065,3566,16.163313
626,40690,8735,20519,11.086485
627,28006,42829,34601,18.538034
628,10334,14053,30787,18.011227
629,27015,5265,31696,15.63199
630,11392,15405,41515,14.728036
631,19747,18076,33955,14.957422
632,40978,4455,19036,16.008059
633,32946,4558,1195,18.409277
634,36942,20552,35854,9.12514
635,25942,17542,36251,24.700264
636,35744,45573,3471,13.773258
637,34967,49376,47447,19.024593
638,42680,43836,35159,19.976751
639,31993,18292,5459,17.8553
640,14849,39253,19642,16.94765
641,12772,9479,8638,21.47635
642,40534,5880,35097,22.031637
643,41992,32360,41546,22.567835
644,9653,2706,48535,10.194842
645,34419,35067,28788,16.015602
646,17242,42840,6401,20.849495
647,13093,40089,26478,12.498515
648,14729,40437,13813,26.350384
649,22144,42089,44178,9.011617
650,12249,11323,34356,27.456213
651,36022,12111,38477,11.772429
652,35541,34967,34294,15.360917
653,44007,15638,1784,11.561592
654,46696,10602,38436,14.382293
655,32783,46187,1011,10.641497
656,37605,40607,21837,13.280763
657,23086,9007,45254,24.950375
658,30167,49675,14292,18.01004
659,47561,21801,28837,23.088165
660,48484,22075,25419,13.444893
661,34978,20429,8775,10.944986
662,7419,42864,49132,22.01776
663,15316,27747,11621,19.593794
664,38942,30936,9224,7.698092
665,10710,8445,20769,10.755222
666,14053,29060,23276,7.810453
667,25504,34498,35774,28.277468
668,17886,19484,30092,18.81206
669,5115,48369,31812,17.551098
670,33150,2565,1132,11.95773
671,45036,1161,7990,13.320649
672,8053,15436,44402,5.2509766
673,4439,25005,38966,17.413437
674,14956,41435,35959,18.885904
675,39043,9360,42805,17.450005
676,38503,42941,45524,16.159779
677,37946,22453,21469,16.11183
678,40778,44747,36727,6.5167303
679,27236,32872,16851,24.801025
680,36047,39687,12028,15.1867285
681,49254,976,24174,17.321516
682,29093,28579,7958,14.658578
683,2695,19776,23093,11.503566
684,16106,39178,18921,21.363575
685,15707,47501,14842,3.8122277
686,45427,5090,28600,10.876224
687,11214,21574,18977,18.36985
688,19489,44758,38036,12.338755
689,24114,34115,9357,17.096771
690,35808,42977,16183,6.009839
691,49370,14066,24734,23.070406
692,15364,19920,40880,19.540648
693,3792,991,14230,17.55594
694,8993,28726,40774,13.470091
695,44594,9564,40413,24.777826
696,47681,28662,48885,21.69569
697,13962,34594,48150,7.5735006
698,11649,28139,43290,6.3229337
699,15767,38837,35749,17.167356
700,33222,39323,7946,5.98617
701,29242,4807,10680,14.254287
702,16239,28378,37882,7.025067
703,33668,34446,35575,24.304842
704,41052,39252,46657,15.008689
705,5360,18567,2577,11.370213
706,43085,46006,30435,10.487995
707,44577,27399,7126,31.477018
708,18670,44932,14167,22.527576
709,11229,14366,41127,11.360987
710,36985,41394,17769,13.537108
711,46901,8049,46531,15.730414
712,23318,29936,33135,17.717268
713,526,18924,5622,15.162515
714,20153,27831,28654,22.644693
715,5899,45670,42729,10.583328
716,35734,40619,46780,12.244548
717,39559,13314,22124,10.329366
718,6325,9122,24786,22.610601
719,3270,31232,36049,13.367788
720,43092,7330,30804,21.847963
721,17202,3523,30062,26.803944
722,21358,34019,19981,11.867648
723,10038,4257,28397,5.6236324
724,15638,16152,24379,10.869212
725,11358,29870,19662,11.5271
726,42672,26183,48214,10.463495
727,29391,37509,39375,4.061448
728,19152,21183,23867,14.977057
729,27347,45254,15757,19.34524
730,1770,25018,49682,23.232384
731,13326,8059,41310,24.340729
732,49981,38777,8254,19.049683
733,18939,27681,13125,12.199513
734,12598,31490,31545,26.212091
735,27220,5722,18087,23.764292
736,46546,5389,48723,7.7397394
737,1586,27128,34154,8.290973
738,8869,43963,44661,20.114595
739,11156,38027,41121,11.049184
740,40268,44688,32698,16.952671
741,10573,25347,3543,24.165617
742,37812,33706,32397,12.400926
743,21996,27095,39876,11.746691
744,36582,4943,11648,19.188786
745,29274,22954,30056,12.182641
746,44974,8512,11136,17.566275
747,38524,12202,22459,19.06216
748,2173,18299,3186,15.708161
749,37001,33874,8098,24.097702
750,21686,17191,34859,15.855099
751,2747,21705,4850,17.20926
752,22042,35486,35100,17.768394
753,36618,36047,40348,20.77951
754,14914,4537,17304,13.023904
755,33274,26756,35366,21.028902
756,37558,43862,7296,24.30444
757,12242,29032,12309,6.7739735
758,6428,34588,776,8.8121195
759,23449,38935,32042,4.382555
760,29817,35187,4789,13.264291
761,13024,43697,8104,9.311831
762,9516,48506,44850,24.794325
763,3423,8614,31189,10.453306
764,10034,30909,42597,18.724749
765,6629,12187,38490,4.9182525
766,37707,16118,1006,18.72697
767,45893,19178,35332,19.534002
768,16255,18424,49228,21.323946
769,451,17597,36631,13.99318
770,19625,30382,44920,10.762239
771,28702,16091,43250,15.744515
772,18424,25382,33441,9.87165
773,3687,39154,25918,18.130684
774,34810,41595,2755,29.563272
775,4073,21672,26915,8.1068
776,11312,28205,28429,15.912465
777,49846,2098,21515,22.532084
778,34676,34765,6727,16.768486
779,2909,4888,44703,17.939665
780,27097,5003,22116,25.10603
781,34874,42534,26417,10.269536
782,2805,39292,17985,15.388718
783,44179,4634,48130,17.529606
784,27556,27220,38264,15.335227
785,7767,32097,22771,12.821181
786,5260,19859,20675,12.819682
787,10146,12114,33149,8.474593
788,15587,2631,29589,19.259333
789,24780,39068,17525,19.858072
790,26269,19186,20480,10.602388
791,19546,28730,38977,25.521322
792,43553,48125,3971,15.151795
793,3185,42894,28883,22.208115
794,33898,3997,5526,23.92461
795,35544,12367,31210,13.637783
796,9710,38492,2045,19.071325
797,1376,14841,1940,20.12916
798,22806,17389,32632,17.856258
799,15306,4248,20546,19.82606
800,48739,5476,27139,17.233574
801,29619,46724,29570,6.4697123
802,49192,15256,23296,24.243536
803,4278,20118,21762,19.651554
804,49710,24616,9612,26.149454
805,35636,41632,36897,6.6789427
806,44674,41745,12973,1.0175463
807,35599,28055,20969,16.156145
808,6694,21473,5307,12.810146
809,5669,4999,15732,31.192228
810,5389,11478,32287,11.987716
811,49691,3015,21308,21.52206
812,29740,35284,16240,8.193625
813,30305,4552,12899,20.763163
814,33546,30381,28773,11.345945
815,38738,35633,31175,19.139566
816,9583,22073,49108,21.859314
817,26855,9456,32372,18.83946
818,4957,36098,1283,22.097534
819,17130,34908,21375,26.29533
820,30103,9997,838,11.469974
821,7135,6100,28410,21.187027
822,12081,44607,35191,15.786717
823,226,7894,48218,11.142959
824,4650,2217,40699,18.871601
825,5676,845,21777,12.233691
826,12410,15541,44913,13.93478
827,3043,37450,22270,14.669454
828,730,29239,40308,13.445347
829,28060,22801,26229,13.341591
830,21272,47671,8170,21.608593
831,38548,5850,1648,20.517101
832,12764,2792,1572,22.305977
833,13655,22982,40231,5.690869
834,30873,34556,24068,21.575787
835,16495,35542,21212,17.404524
836,38966,22588,4439,17.413437
837,35864,3843,3183,16.957113
838,27758,38602,44359,17.141024
839,18215,31550,25274,20.10199
840,32039,14965,19521,10.994483
841,20881,4968,38374,12.103829
842,34365,42319,26859,12.050837
843,29233,34370,30908,10.301936
844,12102,21823,47682,21.893476
845,13200,43134,34317,19.089537
846,22637,45776,36619,13.790893
847,9965,10351,13369,14.283438
848,22885,28709,28884,16.836443
849,3980,4421,43713,16.528429
850,39964,17700,5634,15.146542
851,29032,11274,14838,21.133898
852,42082,26988,29748,19.93736
853,3746,42556,19990,23.90901
854,17807,49996,37447,29.129278
855,49564,3685,49141,14.416279
856,33782,17965,43115,18.669947
857,34646,42466,30963,5.0312986
858,1460,2988,17124,24.032927
859,41308,30970,41716,26.066856
860,34791,11654,1871,25.79453
861,6169,19898,6030,26.364225
862,23652,4050,34624,7.8696346
863,7769,35123,42593,14.770477
864,12693,25864,24507,5.6495557
865,17479,16844,20762,23.497847
866,3810,16265,19615,16.05959
867,35756,38539,181,16.968225
868,18830,41716,23872,22.562754
