query_position,target_index,target_hash,correct_source_index,shuffled_source_index,nearest_wrong_source_index,nearest_wrong_distance
36,19486,746ae4f35a8be7f563da0dd56b4fea7948f5cc813940c731ec1ea9944abe3832,19486,242760,471900,23.808825
37,591223,59cdccfb7b33f558bc5377f0b6ad337874967b2e9decf10e4833087f79cf3e8d,591223,858396,712852,15.920119
38,544279,84af747a9f435929804001c2d890aaf492dde1c4957e00afba2ced64a9548b84,544279,747083,35227,18.624588
39,84248,d40631ffcc8da6e337e5687fc2babf6c82cbb5068379caf4da69428d96e4576a,84248,3241,729719,21.652222
40,505835,af556271ce1cfc8b02d34146af691fdbf18339ebc8cdeb5928379fad2b811a59,505835,54355,495454,14.586894
41,276832,9fa3e9da67d6484d7c4ce40194fbf79f2e82961a2575992c58bff19e6758de5d,276832,307067,395712,16.568409
42,809026,1fe6c0dbb1661f7890bbb6f20d6c5b3d97987e9bedef860eb378225d1803d754,809026,193885,552296,23.773767
43,836643,becbfcc83e7f699bdebec2ba6cbef39e0493ddc0a03bf20fa8acb40792e1047d,836643,385025,437845,25.503872
44,826301,76883ee2236cc58748134ef69b093bfff65bcc4edf2fd3dd361828e3e5517cc7,826301,752257,440274,26.273254
45,326636,14f7e13f1e1164dccdd7060bf6db77f8c0c9a74b4e6fb915641b8e51241b6960,326636,657433,49149,9.369164
46,270421,7529f6500a413920cda8058fdbec91839b626a5c5e619145b8da813808c305bc,270421,694462,431204,13.408781
47,186221,dfd909b93b55f866d571392be7f0e75a1fa71918bb0c44b379d8c7a3ed303de0,186221,770556,248052,17.573347
48,962870,ec9a11da0049d19e35ede098f989353fbfb01c31e86db97f7ddfe8b6fd7398f3,962870,516249,455920,19.658995
49,762127,c5ee29e657be365184ab98059edbc5d72ea22ef587ac377bdb5bd874ebf237aa,762127,731743,732342,21.490528
50,681012,ceb8e8807b971733b3db5975903b11720afb7226ae683ac33b776379aaba5645,681012,817464,966146,22.991331
51,895548,82d544b0af74ebc122d7fbc928ea0d25002a16a2415a56b608c9cbc9e19049b5,895548,547076,648920,22.098131
52,922899,2ef5a0c8a520f552b58461f1a70bcf5fa50285d837240cdc0e3c46642f849539,922899,929008,277659,28.092047
53,643383,d18a1b110d09789677e4ebc78fa93320ba80a065dcce758c7805d20f35e2a061,643383,732878,559437,13.635868
54,345317,0a08ce3105be8296efdf02bf7fdf2ce370cc67fa8b524792d1325f171407d5d4,345317,148504,419740,24.532719
55,41882,014c81ed13afcd30f06ba77ee4f34ec3e92d6195679da3a1cda08a3d7151c0b3,41882,921833,201311,20.385593
56,729084,67e66ca05591755a01d3b05cc8e3cfb96f5d3d222967e9eff2d08d69f8dffefd,729084,878207,728162,20.877619
57,488692,5360d82769454398aecf2107c69a6de6eca7be4bb0d00945576674a589901b69,488692,251462,626273,23.690153
58,983573,9a5631c739fb0bf1470f5c4062e10ffa27078a7a1378dee0f25e0d647a08ed40,983573,767807,176279,24.396673
59,698284,0d6e3b1ee96d88314823f37c680a0d392ffbb0e680c3fcb598813b74be17bbec,698284,211334,748673,15.420695
60,465872,993aaa87f5e56b99e34dd0e9d33275a6467e4efd48ad58fbdff854c5e81d9266,465872,188243,222838,21.198795
61,270360,1f2f8f6f20b2b4589c486ea69b84199425a935e266fabe6182da29ae28deab2d,270360,32520,55241,22.553644
62,357425,ccb65aa1d02ce80756a7dc9095932a92adb2909580f0459b218a5b5b15172389,357425,69888,846169,17.161057
63,68546,29ba495defb613f2137a0a40e1a801ceed69badbff30459ed0be9c60358dc62b,68546,670378,173383,22.803583
64,74614,c17be9f24bba7564a31dc26d6ed5779e3e293120446449d6017bb787e3602a35,74614,110572,261037,22.01961
65,879413,9beb18895c7bcf515ebd75aa54c851cb529a463c0d54a8eee0f25fd4e024c216,879413,296262,442179,21.876345
66,14494,adf58c506ed52d6b33aadcf44e3ec36ca690e67a8b2bdfcb6259450f413eac9b,14494,703355,501894,23.227123
67,307466,4f3f874c98215e582de7ebb757621d58e5e374cd415d0c6834f1556484d734fd,307466,13807,308129,17.186577
68,884434,4e250460ecefc91235ee29c051eb9b7008ba273db945dae206808419b33bb53d,884434,7044,768092,12.099997
69,876394,f91970989925a6d3fe0c378cd6461b02f3400d06ac430ce32fffd8c352a5fc8e,876394,678622,212246,20.66677
70,215482,f7b31ec73769fff1885b414a4278b435f3a2c22fb765e099c849fdb162e45b11,215482,701988,804024,21.004307
71,4883,eb68eb21494e4b8f3458251ec296249fc2848bc39c206deff298f52de450219c,4883,779999,613627,22.313305
72,332787,2b5658733fcbfb44140da03370b27fa8c2451cc452043df2fdc5332b476de9ef,332787,756408,779797,26.202415
73,439957,2b2e1aaa2b9018ef1aade7458122f1acb65063913001018da00b4db0bb994952,439957,927507,817965,22.438425
74,805366,64b2dff38deae1ae5163d34e5894333f585c2ffc1dec8a30452755beb91d6364,805366,764778,872570,14.317659
75,429549,e628058bb0ec58462e158c74f4ec8795befcae0ef790c75994e98e0657410191,429549,786919,540675,10.785043
76,971335,cf854dd74f5c838266abf814d27b5f4b8b0cd56238aca9245beca6d5cf4b640d,971335,657849,703897,20.202696
77,660536,fa34822fa9dd6970b3c2c718f812dcba3d0ddb43aaa689c2cafe9217880e8731,660536,418351,249026,15.382838
78,879256,384cc1a8b8417aad010fd594fd76c66cfce8a026c589bfb44bd4e94a1ef786ab,879256,761921,605491,26.560423
79,897075,1e26f2faae6b3cd6756f76e83f0b2c909e943d306740e65a867c55cb7b70b963,897075,706817,836793,23.561495
80,325183,dec8f9dd3afeadd1af34b99bba735022a22321bd9373d83e6beca26f5773b82f,325183,522247,442850,17.649591
81,559777,c64c01a57093af4345dade2280714414c8963b5f68c1e9d2ea9e10a8db93fc3f,559777,799916,742455,14.071034
82,796164,4a6d1611a11a588eb9c8acb8a649ee02fe14fb073e95766230f8be4aa272c0d0,796164,17742,744564,16.397371
83,221379,c75fb39042dc555c324acc67f021d774bb36384cce3aef348f8bad4cd46fdc93,221379,886058,113536,16.658724
84,776910,d0bcd41ea10e3104802f07484a360db0b219752bcf2db52396c3c9cad3140e94,776910,477593,983425,23.11539
85,640679,919bd93e8179dc61abdc6303a3d5022d6146659998613a68946bd30d8dfec350,640679,949495,584454,15.122373
86,877947,26394309a8b6102b3b0ca2209f876952d847326e926262899f984cff78aa9951,877947,306777,473203,26.524858
87,695509,2142ef9cd2ec0f18f1de298e6ed73e0d127c0c1028f1697947fd106b1ff1aa58,695509,224866,899862,5.952438
88,557981,7aa2181566ded283f04a8873e5d281322703ca65810a922cf15397bd34fca0cb,557981,774280,57281,15.830446
89,529421,0dcd5269059e7aec066f71dccb68197a2db1f7bfffeb8f596355a66e1c9576f5,529421,661334,339511,25.411655
90,101345,1d4ff367fe3c2bba41dc5e63d8e069f064c4d32e0928ce7dc2636cc7dde632ae,101345,343246,310825,24.6395
91,326731,cf9adb54e740628ae654f87473c52596799df4203ffaec3d192a27e495d363c9,326731,394672,486649,25.428316
92,827230,e899470ecef5f542de1edcb75e590d9d34cad09372d58062db1c1063654b083e,827230,172266,825490,22.686747
93,750435,94254157a3d5b307c76931c07b0fdcd886ca564745e8bd67f2acb4dccf13ee86,750435,650626,74526,20.954065
94,470259,f835318c565ae1fe0c97a84233f8858104f11a02524da1d90701ca77a634420d,470259,745044,598569,22.665173
95,933473,f0f22e78b93265910e59b1098b8b5b0a255ddfb1f70afb8d0f4d9dd36c91eff3,933473,506241,576958,22.321888
96,918323,e1d20f63a397097294a704bb3189348ff76157f2d951c693c520434a5025b2bc,918323,178855,286513,22.261162
97,604359,8ab479803ea0671476260319c98aafc27025d574445f5f539695055540048800,604359,339142,417542,11.104209
98,459562,3d08da6b3c146160844cd8e04e5f038c41277499263b08153b626a5bd8370b0b,459562,712683,458879,21.951746
99,103044,08991c223aed7578296308e5320a13457648205edd48b2079ba1bc339e064743,103044,252008,703323,19.271463
100,276802,79c857abeec30e0cabfaf93cd7667f2e8270f50f39cc7eae788e10ac35ae1bbc,276802,930117,879522,28.64319
101,469079,5e80a1f0099e769665cfffa4a7d4743b42bbe0f628600c96d2a182c7b97f2714,469079,270486,133837,12.378225
102,277856,f81a412e15213c4927c7590e3e7e1e29fc65398993a45fe07c341aa102f7ed4c,277856,774592,185864,22.345367
103,982159,1eb17e9b4405b4b06abd8cc996f5a280f8a93bb201ae30eaf69bc86471738095,982159,41726,502290,16.325212
104,421020,08db4b1f9f048bdc9c7a6835765cc71832757db42bfff45a960ddcade48d0da1,421020,58684,92708,22.539326
105,381608,2a3be0615cb860f5c19f881394cd0ddeecb30b3bb6f230d607fab9cb14f0fa7a,381608,877514,217373,21.930916
106,296262,be112d6a3644bc630fef682c6a9602050e721db6889703eae60936b33a8115a0,296262,426524,744564,11.4956045
107,965091,32547050f0e306fd23299cfbdc23b6ca34d3ebfb9a9e6f53f508f3a1b9ec94e0,965091,723126,354572,23.165186
108,300826,169fe6199c87dd39477d17d66715fa6866743042b67ff323e838235c55958cd7,300826,142480,836793,23.111162
109,320304,7247919ba3b9470fb4f761047ecda12834514361dec44994ec8a476796f0a664,320304,588063,716060,21.32682
110,725038,74b05f409744fface433abe60ac3ec4faa8d68717ccf04d5a1c19d187cf5940f,725038,528347,30058,17.106325
111,445967,f2ae69b0fabbacb9ca6b896b66069394bfa35d158f6576bc982bc8f42f092e3e,445967,539652,677770,20.828934
112,136284,408941d8679733137f1fa9a438286f1e22e55fd7a7cd2729531e511889e8f9a2,136284,578714,274014,22.144215
113,711932,cc00e7581f89a55136709181b549c3b364c337ce993708e4a74fc416d473bf57,711932,632965,712499,18.933842
114,877000,3525e42b5fc3c480ea8d040564de31e3d57cda5172f07513ae8b101eed984a95,877000,837859,980472,20.897612
115,253175,8fbfb4d1d4d13e2a5fd81b2cafe990f1b61ab0d80813a9be3fcde371332d0efb,253175,538357,727962,17.284584
116,273850,f76adf784aad416f8f47857f70217ca6c811c6e5d91d04bbe6f6446a94bebd3e,273850,197662,693383,16.08545
117,845959,0291154a8e7163c9e6bdb74ace00b7653eef9aff2d7eea399bc387c14ccca705,845959,869598,373045,21.377506
118,1109,56807ae05e69bd7d83b5f0672b04d8be244c66728100555f65f4590f663527d5,1109,314298,550341,13.93912
119,191747,8618a9d1d191ec89ddd01356a35239eeb1dab4d15b4c75e24a68cadf32e15e26,191747,567180,219322,22.403273
120,709077,15ca89edbdcf4f3bc0fb03ef032e7ecf46c610b4722ce1decd3193e88444db24,709077,982503,250431,15.363833
121,685833,3fab9d7472269f32a26b1d3ae5e1b76fcf92517b28aff14efc9ecc04033c54dd,685833,335908,891447,24.084368
122,741504,faa491a9356270dc5eb477709450c165e3f5f5de2449881303c24fa8501eb5cb,741504,111491,38076,9.534355
123,211277,b98d129b6c47932450269a629c5df2f953a59be019fcac3ef3ad7d74c40e8934,211277,673191,856023,24.14788
124,169568,e60353205540220a2cb4da825285130b72b72503e48410b8d968dacdfc53664c,169568,810870,142157,23.226488
125,86382,6cb7a79e22ee266f499284b2f638f424b02f53f40256f59fc8b5b39e809283fb,86382,775780,497269,19.9925
126,840653,bf046797c063e0572fd16734487219a3eead895efe17ae31d8fa9522c9817f87,840653,122422,895099,22.575981
127,899384,5a17f7006b7b2d66e7c3c90257de1953c7ce8dc20ed5fe9094aa78bc8f6a40ae,899384,913721,286953,17.102724
128,908405,7f636726677c3e06d4363c347611660e1a4f71b2302b38b240d20ad0c9b36703,908405,440289,345102,20.793182
129,376305,d357574b436a088d2e1b1a93726cd14f298466585cb1cd3f6caeea8acba78c26,376305,381705,351998,19.956896
130,751597,133e6e6cdec04a3ed3d87b79655fbbf92693eb1153aeaa3adfa82fdc825b52e6,751597,857452,223561,22.841362
131,761908,2bd8089b934743a8c6083b7c801fe4104089899d8c44d87b8495f24c72b68eae,761908,124418,936319,18.619953
132,737863,d5ec21f50f3e3400a3772028a40749f26b9a5644d5f15693f352e0957806e0d7,737863,370420,603738,21.691782
133,176279,4c0d2f6003d4865a9a30f6c4d0c3dc09af3b75460d466ee667a0297527d80755,176279,44471,763878,21.413214
134,35227,f2c6e8d1ffdb7edffe580345f51ba871f4c1bd8ccc7aafffd398415b8668e373,35227,181915,544279,18.624588
135,50209,43850c77f9593af5509f74dc06b5c86dc3d8ddbf517330fe403a5842d75365f4,50209,329719,568534,22.396399
136,328103,f8f411fffea8dd08427c305e2f8b2a875cd4b4b1b90ecc10f3fbbd8cff8694f5,328103,396776,543108,14.89142
137,201516,66d9ad7a3a879ad1c78ad2e5755403c7c24c455c98e117e939a4a516a3149edc,201516,356537,565036,19.409943
138,795978,3188cdb603f4bece25b3e104d8a6f7e98f4ff31a46cacc0e3ea9fc935d3822bf,795978,999814,120277,19.363272
139,676432,7f562bff2bc98c1ae724205d7e8cadc4e9b836daae15224a5d8b4772c491c13f,676432,463849,39206,7.4418974
140,327951,6e1288361643533d7633998a4fd32a9bdee5e5dccb388d87a087f362651d427e,327951,458102,670830,27.930754
141,539652,e1de98d540f24efeddab38880732a9886a75d1a1808bb08188083c631208f575,539652,278393,635892,22.286684
142,291291,f70d8b2e95c4e55f8fe6944bd751d4c5d780d5e84f33c33dab8aaee515930bb3,291291,203520,323518,38.303253
143,122067,d96868d57c473142651880560417ab1912937708701a97c9cf71b8d90c70fbca,122067,75490,261087,20.21939
144,973649,89663990b67b977f1d93acd911f3091df704745883cdb00f03b8df89748d738d,973649,695509,453750,18.238518
145,850941,96a6680cf64041d183d7bd2f53fb4943dad395caf35622ea212d99e2ab5d2b65,850941,933473,45534,22.243437
146,798641,200ef36ff81d9ed6d58a347396a4b7c57fe94ea70b3aa58df986bb4a19e1cf39,798641,351998,424917,16.614437
147,187763,0dc16533ccdbbd3c3fe05944d606a8f7c8f9e9c91d30216a4fc8ec26ad480f5f,187763,178290,276824,22.159826
148,448084,47c3e476303a96daeff8c7ee9bcd50ddc79783d9c92430f744cc7068327e1ebf,448084,233549,390783,8.088454
149,671541,ec72d582857c81170f72dac8c125cc9324c9566756ce5f3ff341d90afeab2bb7,671541,557981,788576,18.529722
150,972823,8b4a8d7cb61a3baa7768b15ec682063d751d64e0f248016e3f6ccf2d47dbc311,972823,776539,347628,19.036852
151,531217,9ca0d65cf2fc378e0e9663653e41b617b1c220d0636cdea662f4bc1d6cf19845,531217,120883,176329,19.165813
152,309799,2b7a9ffee1a9c39053085eccf42b3237f5f873ce37dfb85660fa5ee1494d6662,309799,404072,934368,25.283886
153,436607,80fbffacc5fec90efdaa3757a93f69002c623475247af0b24f684d3a17f662a0,436607,751597,677537,25.432892
154,562313,a2d56082bebffa97d1138b638bc988d7de35a29e74532c4d132483fce0bca62f,562313,502014,560499,14.312355
155,663299,8b16ade505d2e2a9ab1282e7fb5dbf58278a1d8853fa06d16c52d7f9a7b3c40c,663299,167805,297590,14.055245
156,912481,9e6274f380de641605e356e4f5eae05b159b8d2c88c04cd4bc7168c601731f0e,912481,37298,885896,21.292429
157,528024,ce5f61a4a07e3be8c1c0d7b59482fda639101d3916adaaecbca0755d18899b59,528024,772135,169151,28.89314
158,512347,4937df54a3050aeb8053d05ff1331bbd18be5eb6b412f3885d5320be1d83cb70,512347,628181,510439,15.577047
159,855605,d93e0ac8f18dd9f9153077e2cb320ec0c451ffc78e9c4cd7f716d796da6d7414,855605,91090,362877,24.341278
160,145327,00aa6d7a310e9cf84439c7b145722044089a40b874664ca2d270c2870ca71bb9,145327,136534,27357,15.8824835
161,112376,92b44091c80f62667a94b88b76967b9cfc5e95a9ebcfed8e04e04322af339050,112376,51378,765186,22.389692
162,354397,78e49442a5ff40e40f338cb9fd4add681b3ae61624bd78fdc86d01cc0ecb56a6,354397,155822,732489,25.171215
163,67122,296a30bae392740a3ede5bfb67d4f27d22122c820a967ffe210f9142c95a63b8,67122,306271,574648,23.402521
164,571547,43012a7a8cf7d797e7dbbca09ce6438f1e339098b50ed024b027e043e93981ab,571547,928406,218719,27.106297
165,715864,c419161a0ae0d53f895da054d2e261184aea5abd4e589fcaa063ada0a57cd2fe,715864,793963,483923,21.72955
166,532068,db3492623d2393f59c2d4a3edcb8c82bc71cf3845e54760576810a9851967c0c,532068,644360,766533,27.857271
167,585403,f45c0e20cabbe2bab347485cfa4862541e50b508a1b50e8c12825010a726608e,585403,249147,433471,21.809175
168,13876,a98b040724ee87e2f3ac3ae2cda4f2bba0b6d346d475a687c48d66055ede3442,13876,520726,160617,13.425412
169,761921,726dd19bed6124e81b6b1048984395993424cff0ba7b79466e692a29802463ba,761921,98928,478639,18.549685
170,760341,be0c728a0d7f4a0b1a72bde4c2bf5cbd0e590c1b99d624db3545c7c8cee01c86,760341,656023,846095,25.396477
171,982158,4a581379137b26afe10cc569b9f1b7ff5121f6a9ed41a84eab0964d72546c3d3,982158,850191,218566,22.840357
172,186332,b9a0c84ea4044aee3dd8670439cbd0cca3e911a3c9a77ed172758662439247ff,186332,609957,464208,22.32608
173,884760,440f1d597115f6fb793e3174ddde153f042551b20e9b9f76d6eb80a1951959fa,884760,593875,259516,15.562272
174,298444,130d1e4cfdfb32c0628673aabdfb2f96eb98cf40a5a46951f938d7fd5130a1c1,298444,475461,657761,19.317062
175,738442,f25b4cfb9b6222e0d3492884e413246ef9082276859c33add6fe1f47885a5491,738442,326310,401035,16.010353
176,47891,e7dc3fb2243f5f80421ed2136327570065e1739897e158527996c94447c3b2a7,47891,953974,727334,19.645538
177,296031,88486de3549b0bb1176d36bf4f2a068045d2a790e73368c9a8497953aaab7312,296031,309618,56286,20.06961
178,986554,8d68c9f3e08a00024026415b488843c94025316c1d7e720474a8e540a5609959,986554,647722,756994,11.728288
179,77458,a6def81ff1752fdf8f5be3382d8b859f0757a90611062b8288cff9865b13759e,77458,874208,618426,15.833238
180,592515,53b1192040d459b0ef04b7b86095a5d7b3ed1063af22a91659b6146f82859c7f,592515,725201,101310,23.116041
181,995608,136f05dddcd0ff208f8cc7337a51f74aee425846ce515142f31aadf268cca186,995608,496461,857917,25.613432
182,782148,fbc6eb0dd4d4c4b6f44433be747a995789359862b99fba25a8a808138dd36195,782148,314211,722880,20.50584
183,825156,31ca079f4afcfdad5aebd17e78eccc8eb875ca3c25605c4918de518fdde5d46a,825156,23898,610016,24.579763
184,982503,4a1c8ba5eeb416ef2c0dfa6098fb96ed03dbc75ff25cb9393e68942dea050f4e,982503,701231,26383,18.591518
185,43554,493db5bd610f43902f5adb4cff62630d175e0b01aa30bb8045ac181751d862e4,43554,362122,374225,17.787977
186,787728,1ddad1214d611fd3188fb01b4b4c0b8e8d371d1e73c261043ed6d5d63dc144eb,787728,806280,963847,10.801583
187,662559,b2d086260f27dae6a18569eb9f9ef95b0d13f2216bc73f73f80fd40be1b4bcae,662559,32262,287504,16.778769
188,794875,8cf88a5fa4cd264111c8d845185223675a5b8739ef3d71bdc062c686da1f4690,794875,523104,327123,23.435719
189,184693,a1301523f76fa9bed70c5182772a93d23f1a7cad9b2688500483f621f5119ecd,184693,807351,960647,17.719975
190,699427,3197203358356e1339fe4ac0263ffc273be34553568c814ca510d3a42ee043bc,699427,389868,353961,16.514568
191,268432,3f65ec1e2d445eaad1f6c12681d7e1d446c0d83fcbc6b48a91574e39a5810a68,268432,363590,32394,18.30067
192,10530,463168370b07633761eed8ef5d0ec371dc147b9f8a11760345dd434dfee11930,10530,118178,10251,19.526052
193,174715,4958202c178b341c5b3ad339cb731eff6e5e65cf4f82afa5fd1ea3c377792322,174715,429066,587877,27.94127
194,56921,41141045587dee58e3b83002f94a5839313bfa957cd9763149469291511340fd,56921,928302,31668,17.980541
195,954678,c783755e84e01e34f6f7eea37f4dcec79118fb81b99002dd1b9f73c5b371ba3c,954678,783345,448087,13.600164
196,805886,438221f5e163a572ee7bd234577876b97fe6ff9f5e1a6dc7d28111ff44a7656c,805886,58273,129516,16.04364
197,337155,ad314ea843e3cd486fc3fb366bed443c93e300a6260fd0262cf1782e89a403a7,337155,362169,776707,17.564102
198,188243,51079f00b1388b5f58553fd40ea873cbf014efc6248e1b7410cfe37b9a6f6851,188243,643383,793049,13.813596
199,776539,b0f81fc13d3f1ae8fbe4f1c21c9df7408f713b53c6d120a50fc13d1d871dbc24,776539,349818,258613,17.536152
200,283118,184ab890e9daa96815dd3a1a0a16afedc18e66146d0bd7dfbe1b77b8938b91f0,283118,587216,514871,15.992285
201,806482,0c33ae7a42d53da234e038efa53dc43e7aa01d47d009bc1629c647b6d995a87e,806482,286265,78593,9.373756
202,72510,f5c0720e365744dfbbcdbb7c97ddc4f7bd2bd6ea8292e08b8d43b976fb090691,72510,330526,612052,18.636591
203,110750,ccc5debd27b41efa5362d2a3356b6203ca3c1b67c2e7eafe1b926d958d8c4a5c,110750,583955,507021,28.468004
204,589529,1d1520d636ac77cd631f2551bf835d833c5722400de7045e3e61ecf56c08ce0c,589529,982159,890539,19.068039
205,999814,425538a594ee85b6e6e7753b4161ed3006b996b951e57b05623954fd2faaf41d,999814,276802,355274,18.873095
206,871908,174d6c4b1c569f78f0c7548970c5e785661a293303aa64fb89e4865d3b089043,871908,96480,774330,17.229548
207,760066,1af64997086723aef372481da2fb33b8b58abee5656b22f24001586e1ec4f506,760066,991021,173775,21.037668
208,270486,4fdf0fb1dfd5daf533a2690cf2454cbd3d8c52a8bd67884d667112bb0383f3ef,270486,745437,548184,21.969847
209,311703,37328e1616b9b0631541c00f31326f6c419246595f8ccefb8d74916ce4ddb97a,311703,477901,321490,17.773016
210,632735,534fba1af080ee13fa08b84cc7210296eeece4224333248c5189830dbb0ae63c,632735,693433,968258,20.923565
211,32368,280f4b8cd43e9730193e2a2dce04ca26ed7627a993554f1b7e68f22e0d939378,32368,688306,117606,20.360407
212,961657,d75b772145ad902cc83ec119dde8f8ed413b6dc1782cb7f06c453633678bd88a,961657,724343,282930,23.43239
213,745044,169eb5dff2484248c6f8641ab06d868e782e5ac2cc73c87c01d39220d9f4ab28,745044,398171,28725,22.373587
214,760318,7bdcce1c8c81d4a2feabd7ce18079f5a3375af42c23eab7499213d035f6085de,760318,309738,862964,21.579353
215,130194,b6044310d37b5be8a6119cc141c3d8cadf9940db98b64e93b6354db75adfdbce,130194,731255,135949,10.617018
216,782771,fd6f6346b672782df353497543b47794276adcfdda11e317e1983f0d02d6cdbf,782771,298444,944955,29.165623
217,155822,b01c1a7fff9357660e17255b9e733db2ab021f9c4f6c1f5e9c7fea8659230ed4,155822,779831,301028,37.45196
218,173104,a2467fb7b339ded2bfc98bf8d1de0bd3c6eea4dab5c309f08a5e4e2f754eed81,173104,643597,837353,22.370136
219,533067,4c2e184c744bfb36c4d16e4f609106cbe18b7144034c2d154a4b5304dbca0b02,533067,649944,59489,23.539772
220,10882,1cd03110ed0ff8d2ef75d14aabf4663bd2c41e22b04a4e4d87e6e3d4aee6e468,10882,44878,942483,18.813843
221,908223,03b869bd11a251f7aa53c7822036b0b08fed1f3ed47f670e492b929435fcb34a,908223,504719,539332,31.520758
222,713460,a91e28f9979ac5b7fa803d1cfb96a43982d074bc926f6aba3465298ae018ec49,713460,971971,586569,11.665928
223,926514,8aeae1fc04fa6a45dc5ed9c12bf52aff5d81d8db25c8af9a4be554f8a7fbd0e4,926514,463618,789975,17.447634
224,698127,8e50e260bf7c9e20dcff8dfe13fd5a4d8e7780580d0dd0eff16b17ee140a0f9e,698127,623454,146164,18.424088
